po/sr/security/manager/chrome/pipnss/nsserrors.properties.po:	264 vertaalde berichten.
po/sr/security/manager/chrome/pipnss/security.properties.po:	15 vertaalde berichten.
po/sr/security/manager/chrome/pipnss/pipnss.properties.po:	330 vertaalde berichten.
po/sr/security/manager/chrome/pippki/deviceManager.dtd.po:	22 vertaalde berichten.
po/sr/security/manager/chrome/pippki/certManager.dtd.po:	78 vertaalde berichten.
po/sr/security/manager/chrome/pippki/validation.dtd.po:	26 vertaalde berichten.
po/sr/security/manager/chrome/pippki/pippki.properties.po:	141 vertaalde berichten.
po/sr/security/manager/chrome/pippki/pippki.dtd.po:	68 vertaalde berichten.
po/sr/mail/updater/updater.ini.po:	2 vertaalde berichten.
po/sr/mail/chrome/branding/brand.dtd.po:	3 vertaalde berichten.
po/sr/mail/chrome/branding/brand.properties.po:	3 vertaalde berichten.
po/sr/mail/chrome/messenger-mapi/mapi.properties.po:	17 vertaalde berichten.
po/sr/mail/chrome/mozldap/ldap.properties.po:	62 vertaalde berichten.
po/sr/mail/chrome/global-platform/win/nsWindowsHooks.properties.po:	6 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/msgReadSMIMEOverlay.dtd.po:	1 vertaald bericht.
po/sr/mail/chrome/messenger-smime/msgReadSMIMEOverlay.properties.po:	3 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/certFetchingStatus.dtd.po:	3 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/msgReadSecurityInfo.dtd.po:	7 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/msgCompSecurityInfo.properties.po:	9 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/msgCompSMIMEOverlay.dtd.po:	9 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/msgCompSecurityInfo.dtd.po:	11 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/msgSecurityInfo.properties.po:	50 vertaalde berichten.
po/sr/mail/chrome/messenger-smime/msgCompSMIMEOverlay.properties.po:	1 vertaald bericht.
po/sr/mail/chrome/communicator/contentAreaCommands.properties.po:	13 vertaalde berichten.
po/sr/mail/chrome/communicator/wallet/SignonViewer.properties.po:	8 vertaalde berichten.
po/sr/mail/chrome/communicator/wallet/wallet.properties.po:	41 vertaalde berichten.
po/sr/mail/chrome/communicator/wallet/SignonViewer.dtd.po:	15 vertaalde berichten.
po/sr/mail/chrome/communicator/utilityOverlay.properties.po:	5 vertaalde berichten.
po/sr/mail/chrome/communicator/utilityOverlay.dtd.po:	36 vertaalde berichten.
po/sr/mail/chrome/global/charset.dtd.po:	10 vertaalde berichten.
po/sr/mail/chrome/messenger/importMsgs.properties.po:	87 vertaalde berichten.
po/sr/mail/chrome/messenger/markByDate.dtd.po:	3 vertaalde berichten.
po/sr/mail/chrome/messenger/comm4xMailImportMsgs.properties.po:	5 vertaalde berichten.
po/sr/mail/chrome/messenger/msgViewPickerOverlay.dtd.po:	7 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/askSendFormat.properties.po:	4 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/sendProgress.properties.po:	5 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/addressingWidgetOverlay.dtd.po:	6 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/askSendFormat.dtd.po:	7 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/messengercompose.dtd.po:	153 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/composeMsgs.properties.po:	108 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/mailComposeEditorOverlay.dtd.po:	2 vertaalde berichten.
po/sr/mail/chrome/messenger/messengercompose/sendProgress.dtd.po:	3 vertaalde berichten.
po/sr/mail/chrome/messenger/subscribe.dtd.po:	8 vertaalde berichten.
po/sr/mail/chrome/messenger/folderpane.dtd.po:	5 vertaalde berichten.
po/sr/mail/chrome/messenger/am-copies.dtd.po:	17 vertaalde berichten.
po/sr/mail/chrome/messenger/searchTermOverlay.dtd.po:	5 vertaalde berichten.
po/sr/mail/chrome/messenger/search.properties.po:	10 vertaalde berichten.
po/sr/mail/chrome/messenger/aboutDialog.dtd.po:	5 vertaalde berichten.
po/sr/mail/chrome/messenger/am-addressing.dtd.po:	16 vertaalde berichten.
po/sr/mail/chrome/messenger/filter.properties.po:	38 vertaalde berichten.
po/sr/mail/chrome/messenger/mailviews.properties.po:	5 vertaalde berichten.
po/sr/mail/chrome/messenger/AccountManager.dtd.po:	9 vertaalde berichten.
po/sr/mail/chrome/messenger/downloadheaders.dtd.po:	4 vertaalde berichten.
